Ticker,Industry,Business
2357.TW,電腦及週邊設備業,"ASUSTeK 電腦 Inc. researches and 開發, 設計s, 製造, 銷售, and repairs 3C information 產品 in 台灣, China, Singapore, Europe, the United States, and internationally. The company 提供 phone and accessories; laptops for home, work, creators, students, gaming, and accessorie..."
8112.TW,電子通路業,"Supreme 電子s Co., Ltd. 從事 the import and export dealership of 電子 產品 and 零組件 in 台灣, Hong Kong, China, the United States, and internationally. The company offers 記憶體 產品 and solutions, such as DRAM, flash, and mobile solutions; system LSI 產品 and so..."
2834.TW,貿易百貨,"台灣 Business Bank, Ltd., 及其 子公司, 從事 the provision of 銀行 產品 and 服務 to small and medium enterprise in 台灣, the United States, Hong Kong, Australia, China, Cambodia, and Japan. The company operates through 銀行, Securities, Trust, 保險 Agen..."
6271.TW,半導體業,"Tong Hsing 電子 Industries, Ltd. 從事 the development and production of thick film substrates and customized 半導體 micro-module 封裝. It offers ceramic metalized substrate, such as direct plated copper, direct bonded copper, active metal brazing, and thick film printed circu..."
3714.TW,光電業,"ENNOSTAR Inc. 從事 the 研發, 設計, manufacturing and sales of EPI 晶圓 and chips of A1GaInP, AlGaAs and InGaN, and light-emitting diode packages and modules. It operates in 台灣, China, Malaysia, Japan, Hong Kong, South Korea, Singapore, and internationally. The compa..."
1905.TW,鋼鐵工業,"Chung Hwa Pulp Corporation 製造, 銷售, and distributes pulp, paper, paperboard, chemical 產品, and by-產品 in 台灣 and Mainland China. The company offers specialty paper for the non-plastic food safety, label, tape, food and drinking, 醫療, interior decoration, garment and fast..."
006206.TW,未知,-
5371.TWO,未知,"Coretronic Corporation 從事 the research, development, production, manufacture, and marketing of projectors, backlights, and FPD related 產品 in 台灣, Mainland China, South Korea, the United Kingdom, the United States, Japan, and internationally. The company operates through three segmen..."
3706.TW,電腦及週邊設備業,"MiTAC Holdings Corporation, 及其 子公司, 設計s, 開發, 製造, and distributes 電腦s and ancillary 設備, and communication related 產品 in 台灣, Europe, the United States, and internationally. The company offers cloud computing and artificial intelligence..."
2049.TW,電機機械,"Hiwin Technologies Corporation 製造 and 銷售 motion control and systematic 科技 產品 in 台灣, China, Germany, the United States, Japan, and internationally. The company operates through Linear Guideways, Ballscrews, and Other segments. It offers ballscrews, Ball Spline, linear g..."
2002.TW,橡膠工業,"China Steel Corporation 製造 and 銷售 steel 產品 in 台灣, Vietnam, Malaysia, China, India, and internationally. It offers steel plates primarily for use in 營造 structures, shipbuilding, bridge beams, oil country tabular goods, machine structures, pressure vessels, and in clim..."
1909.TW,鋼鐵工業,"Longchen Paper & 封裝 Co., Ltd. 製造, processes, and trade of papermaking raw 材料 in 台灣 and Mainland China. The company 從事 the manufacture, printing, processing, and sales of cartons, cardboard boxes and paper 產品; and recycling and renewal of 能源 and resources..."
2354.TW,其他電子業,"Foxconn 科技 Co., Ltd. 製造, processes, and 銷售 cases, heat dissipation modules, and 消費性 電子s 產品. It offers 3C 電子 product, modules and 零組件. The company also 從事 the research, development, manufacture, and sale of 電腦 thermal modules, compu..."
2520.TW,航運業,"Kindom Development Co., Ltd., 及其 子公司, constructs, 開發, and 銷售 房地產 properties in 台灣. It operates through three segments: Building, 營造, and Department Stores segments. The Building segment rents or 銷售 business of commissioning 營造 compa..."
00636.TW,未知,-
4123.TWO,生技醫療業,"Center Laboratories, Inc., a pharmaceutical company, 開發, 製造, and 銷售 pharmaceuticals in 台灣 and internationally. The company offers general medication pharmaceuticals comprising antipyretic analgesics, bronchodilators, anti-inflammatory preparations, antihistamines, expectorants..."
5347.TWO,半導體業,"Vanguard International 半導體 Corporation, 及其 子公司, 從事 manufacturing, selling, 封裝, 測試, and 電腦-aided 設計 of 積體電路 and other 半導體 devices in 台灣 and internationally. The company offers various foundry process technolo..."
2449.TW,半導體業,"King Yuan 電子s Co., Ltd. 設計s, 製造, 銷售, tests, and assembles 積體電路. It offers test 服務, such as wafer probing; final test; burn-in; system level 測試; and back end service. It also 提供 科技 Innovation, including wafer level chip scale package (W..."
3380.TW,通信網路業,"Alpha 網路s Inc. 從事 the 研發, 設計, manufacture, and sale of broadband and wireless 網路 產品, and 電腦 網路 system 設備 and 零組件 in 台灣, Japan, the United States, and internationally. The company offers LAN/MAN 產品, such as data cent..."
6257.TW,半導體業,"Sigurd Micro電子s Corporation, 及其 子公司, 從事 the 設計, processing, 測試, burn-in treatment, manufacture, and trading of 積體電路 (ICs) in 台灣, Singapore, America, China, and internationally. It operates through 封裝 and 測試, and Trading ..."
6121.TWO,電腦及週邊設備業,"Simplo 科技 Co., Ltd. research, 設計s, and 製造 lithium battery modules in the 台灣, China, the United States, and Singapore. It offers machine parts, such as plastic parts, die cut, film, and bus bar 產品 series. The company offers its 產品 for household appliances; and mo..."
5269.TW,半導體業,"ASMedia 科技 Inc. 從事 the 設計, development, sale, and technical 服務 of high-speed signal switch, PCIe bridge, and USB controller 積體電路 in 台灣, the Americas, Asia, and internationally. The company offers SATA bridges and controllers, ASIC solutions, and PDK/KGD p..."
2331.TW,電腦及週邊設備業,"Elitegroup 電腦 Systems Co.,Ltd., 及其 子公司, 設計s, 開發, 製造, and 銷售 電腦 設備 in Asia, America, Europe, and internationally. The company offers motherboards, including Intel and AMD platforms, and SoC solutions; desktop 電腦s; notebooks; tabl..."
2317.TW,其他電子業,"Hon Hai Precision Industry Co., Ltd. 提供 電子 manufacturing 服務. The company offers 消費性 電子s, including 智慧型手機, feature phones, wearable devices, televisions, game consoles, set-top boxes, and audio systems; cloud and 網路ing 產品 comprising routers, 伺服器, ..."
2883.TW,貿易百貨,"KGI 金融 Holding Co., Ltd. operates as a 金融 company in 台灣 and internationally. The company offers personal 金融 服務, such as deposits, credit cards, wealth management, and fund scheduling; upstream, midstream and downstream supplier 服務; and cross-border trade business..."
2489.TW,光電業,"AmTRAN 科技 Co.,Ltd 從事 the 設計, manufacture, and sale of monitors, 電腦s, and 電腦 peripherals in 台灣, the United State, China, and internationally. The company offers 顯示器 產品; audio visual 產品; conference 設備; collaboration 電腦 peripherals; and s..."
6770.TW,半導體業,"電力chip 半導體 Manufacturing Corporation, 及其 子公司, 從事 the 研發, manufacturing, 測試, 封裝, and sale of integrated circuit 產品 in 台灣, the United States, China, and internationally. It also 提供 foundry, 設計, overhaul,..."
2352.TW,電腦及週邊設備業,"Qisda Corporation, 及其 子公司, 製造, 銷售, and 服務 monitors, opto-mechatronics 產品, and opto電子s film in 台灣, the Americas, Mainland China, Japan, and internationally. It operates through five segments: 設計 and Manufacturing 服務 (DMS), Brand M..."
1565.TWO,生技醫療業,"St.Shine 光學 Co.,Ltd., 及其 子公司, 製造, 銷售, and trades contact 鏡頭, 光學 鏡頭, and related 產品 in Asia, Europe, America, and 台灣. The company's product portfolio includes daily disposable, frequent replacement, color, and silicone hydrogel soft con..."
3044.TW,電子零組件業,"Tripod 科技 Corporation processes, 製造, and 銷售 printed circuit boards and other related 零組件 in 台灣, China, Vietnam, Thailand, South Korea, Malaysia, Mexico, and internationally. The company offers printed circuit boards comprising any layer, double-sided, HDI, heavy coppe..."
1718.TW,化學工業,"China Man-Made Fiber Corporation 製造 and 銷售 man-made fibers, cellophane, polyamine fiber, polyester fiber, 化學品, and the raw 材料 in 台灣. The company offers petrochemical 產品, such as mono-ethylene glycol, di-ethylene glycol, tri-ethylene glycol, nonyl-phenol, and ethyl..."
2332.TW,通信網路業,"D-Link Corporation researches, 開發, and 銷售 local area 電腦 網路 systems, wireless local area 電腦 網路s, and spare parts for 積體電路 in 台灣, India, and internationally. It offers home 網路ing 產品, such as Wi-Fi systems, routers, and range extenders, as we..."
2606.TW,觀光餐旅,"U-Ming Marine Transport Corporation, 及其 子公司, 從事 the marine transportation and investment businesses worldwide. The company owns and operates ships that carry various commodities, such as cement, crude oil, iron ore, coal, and grain shipments. It operates 73 vessels wi..."
6279.TWO,電子零組件業,"Hu Lane Associate Inc. 從事 the manufacture and sale of terminal parts for 車用 and motorcycle 電子s, terminal crimping machines, and 工業 rubber and plastic 產品 in 台灣. The company offers housing, terminal, rubber seal, PVC sleeve, and grommet 產品. It also provi..."
3552.TWO,其他電子業,"Tung Thih 電子 Co., Ltd., 及其 子公司, 設計s, 製造, and 銷售 車用 電子s 產品 in 台灣, rest of Asia, Europe, the United States, Australia, and Africa. The company offers system enablers, including ultrasonic sensor modules, 車用 camera modul..."
2329.TW,半導體業,"Orient 半導體 電子s, 有限公司 從事 the manufacturing, assembly, processing, and export of various 積體電路, 半導體 零組件, 電腦 motherboards, and circuit boards in 台灣, America, Asia, and internationally. The company offers 封裝 and 測試 service..."
2392.TW,電子零組件業,"Cheng Uei Precision Industry Co., Ltd. 製造 and 銷售 cable assemblies, battery packs, and 電力 modules in 台灣, China, America, Vietnam, India, Hong Kong, and internationally. It operates through System and Peripheral 產品, 3C Product 零售, 能源 Service Management, and Other segm..."
1904.TW,鋼鐵工業,"Cheng Loong Corporation 製造 and 銷售 paper 產品 in 台灣, Mainland China, and Southeast Asia. The company offers paperboard 產品, including containerboard, linerboard, coated duplex board, corrugating medium, white top linerboard, and coreboard; and corrugated containers, such as ..."
6223.TWO,半導體業,"MPI Corporation, 及其 子公司, 製造, processes, repairs, imports/exports, and trades in 半導體 manufacturing and 測試 設備 in 台灣, China, the United States, Singapore, Korea, and internationally. It offers probe cards comprising cantilever, kestrel, FCB, E..."
4919.TW,半導體業,"Nuvoton 科技 Corporation, a 半導體 company, 從事 the research, 設計, development, manufacture, and sale of 積體電路 (ICs) in 台灣 and internationally. It offers 6-inch 晶圓; microcontrollers; microprocessors; analog ICs, application specific SoCs, battery manageme..."
2382.TW,電腦及週邊設備業,"Quanta 電腦 Inc. 製造, processes, and 銷售 laptop 電腦s and cloud-computing server related 產品 in the United States, Mainland China, the Netherlands, Japan, and internationally. The company 提供 notebook PCs; 伺服器, storage devices, and 網路 switches; cameras, includin..."
3376.TW,電子零組件業,"Shin Zu Shing Co., Ltd. 從事 the research, 設計, development, production, assembly, 測試, manufacturing, and trading of various precision springs, stamping parts, hinge 零組件, CNC lathes, and metal injection molding in 台灣, Singapore, and China. It also produces and 銷售 precisio..."
1303.TW,塑膠工業,"Nan Ya Plastics Corporation 從事 the manufacture and sale of plastic 產品, polyester fibers, petrochemical 產品, and 電子 材料 in 台灣, China, the United States, and internationally. It 提供 plastic 產品, such as PP synthetic paper, adhesives, 光學 films, outdoo..."
3529.TWO,半導體業,"e記憶體 科技 Inc. 從事 the research, development, manufacturing, and sales of embedded flash 記憶體 in 台灣 and internationally. The company offers security 產品, such as NeoPUF, a 硬體 security 科技; PUFrt, which delivers a secure 硬體 root of trust; PUFcc, a crypto ..."
1513.TW,電機機械,Chung-Hsin Electric and 機械 Manufacturing Corp. 製造 and 銷售 electric motors and generators in 台灣 and internationally. It operates through Motor 能源; Service; and Engineering and Other segments. It offers 電力 設備 產品; 電力 automation 產品; electricity meter p...
6488.TWO,半導體業,"Global晶圓 Co., Ltd., 及其 子公司, researches, 開發, 設計s, 製造 and 銷售 半導體 ingots/晶圓 in 台灣 and internationally. The company offers Epi 晶圓, polished 晶圓, diffusion 晶圓, annealed 晶圓, SOI 晶圓, FZ 晶圓, and compound 晶圓, as w..."
3036.TW,電子通路業,"WT Micro電子s Co., Ltd., 及其 子公司, 提供 電子 component distribution 服務 in the United States, 台灣, Mainland China, and internationally. The company also 提供 professional supply chain management; value-added technical support; component application; ..."
5904.TWO,居家生活,"POYA International Co., Ltd. operates a chain of 零售 stores in 台灣. It offers fashionable beauty and skincare 產品; underwear and socks; daily necessities; and personal care 產品. The company was formerly known as POYA Department Store Co., Ltd. and changed its name to POYA Internation..."
1717.TW,化學工業,"Eternal 材料 Co., Ltd. 製造 and 銷售 resin, high performance, 電子 材料, and other related 產品. The company offers resin 材料, including acrylic for adhesives and overprinting, polyester polyol, polyurethane, opto電子 材料, alkyd, solvent-based acrylic c..."
6005.TW,貿易百貨,"Capital Securities Corporation 提供 various 金融 服務 in 台灣 and internationally. The company operates through the Brokerage, Corporate Financing, Dealing, Derivative Instrument, and Futures segments. The Brokerage segment 從事 brokerage trading, margin trading, and securities ..."
2610.TW,觀光餐旅,"China Airlines, Ltd., 及其 子公司, 提供 passenger, cargo, and postal 服務 in the Americas, Northeast Asia, Southeast Asia, Europe, Australia, China, and 台灣. The company also offers agency 服務 for operations and maintenance; aircraft maintenance; avionics 電腦 ..."
6182.TWO,半導體業,"Wafer Works Corporation 從事 the research, 設計, manufacturing, and sales of 半導體 silicon, 半導體 epitaxial, and compound 半導體 材料 in 台灣, Mainland China, the United States, and Internationally. The company offers polished, epitaxial, and GaN epitaxial wafer..."
2404.TW,其他電子業,"United Integrated 服務 Co., Ltd. 提供 engineering 營造 服務 in 台灣, Mainland China, Singapore, the United states, and Japan. It operates through Engineering and Integration Department; Maintenance and 設計 Department; and Other segments. The company 從事 the undertakin..."
1319.TW,建材營造,"Tong Yang Industry Co., Ltd. 從事 the manufacture and sale of parts, 零組件, and models for automobile in 台灣, China, the United States, and internationally. The company operates through two segments, Domestic Operating Entity and Foreign Operating Entity. It offers plastics 產品, s..."
2344.TW,半導體業,"Winbond 電子s Corporation 從事 the research, development, production and sales of 積體電路, various 半導體 零組件 and other system 產品. The company offers customized 記憶體 solutions, including CUBE(3DCaaS), pseudo static random access 記憶體, DDR/SDR, LPDDR/LP..."
00878.TW,未知,-
5871.TW,其他,"Chailease Holding 公司 有限公司, an investment holding company, 提供 leasing and 金融 產品 and 服務 in 台灣, Mainland China, ASEAN countries, and internationally. The company offers leasing 服務, including capital and operating leases for 機械, 醫療 設備, airpla..."
9958.TW,橡膠工業,"Century Iron and Steel 工業 Co.,Ltd. 從事 the manufacture and sale of steel structures, steel frame, and iron bone in 台灣 and Myanmar. The company is also involved in the manufacture and distributes mechanical 設備 of 電力 generation, and fabricated metal; installation; and cons..."
2393.TW,光電業,"Everlight 電子s Co., Ltd., 及其 子公司, 從事 the manufacture and sale of light-emitting diode (LED) in Asia, Europe, and internationally. The company operates through LED, LCD, Illumination, and Other Department segments. It offers visible LEDs, including lighting, hor..."
1477.TW,紡織纖維,"Makalot 工業 Co., Ltd. operates as an apparel manufacturer in the United States and internationally. It offers ready to wear, active wear, sleepwear and loungewear, gift sets, and smart apparel. The company was incorporated in 1990 and is based in Taipei, 台灣."
1795.TW,生技醫療業,"Lotus Pharmaceutical Co., Ltd. 從事 the 研發, manufacture, and sale of generic pharmaceutical 產品 in 台灣, South Korea, the United States, and internationally. Its product portfolio focuses on generics in the fields of oncology, central nervous system, cardiovascular..."
6282.TW,電子零組件業,"AcBel Polytech Inc. 從事 the research, 設計, manufacturing, and sales of 電子 零組件 in Mainland China, 台灣, the United States, and internationally. It operates through 電力 Supply Department and 硬體 parts and other segments. The company offers 工業 PSUs, adapters, m..."
2376.TW,電腦及週邊設備業,"Giga-Byte 科技 Co., Ltd., 及其 子公司, 製造, processes, and trades in 電腦 硬體 peripherals and 零組件 in 台灣, Europe, America, Canada, Singapore, Japan, China, Malaysia, and internationally. It operates through Brand Business Group; and Other Business..."
2441.TW,半導體業,"Greatek 電子s Inc., 及其 子公司, 提供 半導體 assembly and 測試 服務 in 台灣, Asia, America, Europe, and Africa. It offers wafer and final 測試 服務, including 測試 program development, platform conversion, devices correlation, engineering, test ..."
1722.TW,化學工業,"台灣 Fertilizer Co., Ltd., 及其 子公司, 製造 and 銷售 inorganic and organic fertilizers, and other chemical 產品 in 台灣 and internationally. It operates in three segments: Fertilizer and Chemical; 房地產 and Investment Business; and Others. The company offer..."
6510.TWO,半導體業,"Chunghwa Precision Test Tech. Co., Ltd., 及其 子公司, 從事 the 測試 of 半導體 零組件 in 台灣, Republic of China, and internationally. The company is involved in the 設計, processing, assembly, production, and sale of printed circuit boards and related consu..."
5880.TW,貿易百貨,"台灣 Cooperative 金融 Holding Co., Ltd., 及其 子公司, 提供 銀行, 保險, securities, bills finance, investment trust, asset management, and capital management 服務 in 台灣. The company offers general deposits and loans. It is also involved in the planning, m..."
2408.TW,半導體業,"Nanya 科技 Corporation research, 開發, 製造, and 銷售 半導體 產品 in 台灣, Japan, Malaysia, China, the United States, Thailand, Germany, Singapore, Poland and internationally. It offers standard dynamic random-access 記憶體 (DRAM), low 電力 DRAM, MCP and eMCP, and KG..."
5274.TWO,半導體業,"ASPEED 科技 Inc. operates as a fabless integrated circuit (IC) 設計 company in 台灣, China, the United States, and internationally. The company is involved in the 設計 and sales of multimedia IC, 電腦 peripheral IC, and advanced image processing IC. It also offers 2D VGA, BMC, and KV..."
1560.TW,電機機械,"Kinik 公司 produces and 銷售 various abrasives, cutting tools, and reclaimed 晶圓 in 台灣 and internationally. It offers conventional grinding wheels, diamond/CBN grinding wheels, DLC coatings, reclaimed 晶圓, porous ceramic chuck tables, CMP diamond disks, ultra precision machining tools,..."
3324.TWO,其他電子業,"Auras 科技 Co., Ltd. 從事 the manufacturing, processing, and 零售ing of 電子 材料 and 電腦 cooling modules in China, 台灣, Ireland, Singapore, the United States, and internationally. The company 提供 伺服器 for Al-GPU, CPU, and switch; notebook for gaming, commerc..."
2388.TW,半導體業,"VIA Technologies, Inc. 從事 the programming, 設計, manufacture, and sale of 半導體s and PC chip sets. The company offers 車用 solutions, including a range of VIA Mobile360 systems and devices that use a suite of AI-電力ed people detection, driver safety system, and sensor fusio..."
1326.TW,塑膠工業,"Formosa 化學品 & Fibre Corporation produces and 銷售 petrochemical 產品, nylon, and rayon fibers in 台灣 and internationally. The company offers plastic 產品, including PS resin, ABS resin, PP resin, PC resin, homopolymer PP, polycarbonate, PC/ABS alloy, PP composite 材料, SAN and..."
6147.TWO,半導體業,"Chipbond 科技 Corporation, 及其 子公司, 從事 the research, development, manufacture, and sale of driver IC and non-driver IC 封裝 and 測試 服務 in 台灣 and internationally. The company offers back and front side metallization processing 服務; bumping ..."
9938.TW,其他,"台灣 Paiho 有限公司 製造 and 銷售 touch fasteners, webbing, elastic, easy tape, jacquard digital woven fabric, jacquard engineered mesh, and other functional auxiliary 材料 and textile fabrics in 台灣, China, Vietnam, and internationally. The company offers webbing, such as footwear..."
3661.TW,半導體業,"Alchip Technologies, 有限公司, 及其 子公司, 從事 the research, 設計, development, and manufacturing of application specific 積體電路 and system on a chip in the United States, China, Japan, 台灣, and internationally. It offers ASIC 設計 服務, including So..."
2609.TW,觀光餐旅,"Yang Ming Marine Transport Corporation, 及其 子公司, 提供 航運, repair, and chartering 服務 in 台灣, the America, Europe, Asia, and internationally. The company purchases and 銷售 ships, containers, and chassis. It acts as a property, 航運, and forwarding and in..."
3008.TW,光電業,"Largan Precision Co., Ltd., 及其 子公司, 設計s, 製造, and 銷售 precision 光學 plastic 鏡頭 in China, South Korea, Vietnam, Japan, 台灣, and internationally. The company offers mobile phone lens, voice coil motors, image lens modules, sleep health monitoring produ..."
2915.TW,綜合,"Ruentex Industries Ltd. 從事 manufacturing, processing, dyeing, printing, and marketing woven fabrics, garments, knitted fabrics, and woven fabrics 產品 in 台灣 and rest of Asia. It operates through Textile, 零售, Operating 營造 Sector, Investment, and Department of Hypermarket..."
6188.TWO,電腦及週邊設備業,"Quanta Storage Inc. researches, 開發, produces, 製造, and 銷售 data storage and processing 設備, 電子 零組件, 光學 instruments, and 工業 robots. It operates in three segments: The Mainland China Operation Center, The Southeast Asia Operation Center, and The Taiwa..."
6278.TW,光電業,"台灣 Surface Mounting 科技 Corp. 從事 the 設計, processing, manufacturing, and trading of TFT-LCD 面板, general 電子 information 產品, and PCB surface mount 封裝 worldwide. The company 提供 digital camera and cellular phone LCD panel, notebook and television TFT-..."
2891.TW,貿易百貨,"CTBC 金融 Holding Co., Ltd., 及其 子公司, 從事 corporate and personal finance, life 保險, and other businesses in 台灣, Asia, and North America. The company offers commercial 銀行 and capital market 服務; customized financing and wealth management and cred..."
8299.TWO,半導體業,"Phison 電子s Corp., 及其 子公司, 設計s, 製造, and 銷售 flash 記憶體 controllers and peripheral system applications in Asia, the United States, Europe, Australia, and internationally. The company offers solid-state drives (SSDs); external SSDs with thunderbolt or U..."
2327.TW,電子零組件業,"Yageo Corporation, 及其 子公司, 製造 and 銷售 電子 零組件 in China, Europe, the United States, and the rest of Asia. It offers antennas, radio frequency, and microwave; capacitors; circuit protection; custom 產品; electromechanical devices; EMC; engineering ..."
5876.TW,貿易百貨,"The Shanghai Commercial & Savings Bank, Ltd. 提供 various commercial 銀行 服務 in 台灣 and Hong Kong. The company offers time, savings, demand, checking, and negotiable certificate of deposit accounts, as well as remittance 服務. In addition, it offers traveling, human resources, in..."
2409.TW,光電業,"AUO Corporation 從事 the research, development, production, and sale of thin film transistor liquid crystal 顯示器s (TFT-LCDs) and other flat panel 顯示器s for various applications. The company operates through two segments, 顯示器 and 能源. It also 設計s, 製造, and 銷售 ingots..."
3653.TW,電子零組件業,"Jentech Precision 工業 Co., Ltd, 及其 子公司, 製造, processes, and trades in precision tooling, and 電子 parts and 零組件 in 台灣 and China. The company offers thermal heat spreaders, 半導體 lead frames and injection molding, peripheral device and ..."
8150.TW,半導體業,"ChipMOS TECHNOLOGIES INC. 從事 the 研發, manufacture, and sale of 積體電路, and related assembly and 測試 服務 in 台灣, Japan, the People's Republic of China, and internationally. It operates through five segments: 測試; Assembly; 顯示器 Panel Driver..."
2367.TW,電子零組件業,"Unitech Printed Circuit Board Corp. 從事 the 設計, manufacture, and sale of printed circuit boards (PCB) in 台灣. The company offers multilayer, high-density interconnection (HDI), and rigid-flex PCBs, as well as high frequency laminates. Its 產品 are used in smart devices. The company..."
1609.TW,電器電纜,"Ta Ya Electric Wire & Cable Co., Ltd., 及其 子公司, 從事 the manufacture and sale of electric wires and cables in 台灣 and rest of Asia. It operates through Wire and cable department and 太陽能 電力 Plants segments. The company offers 電力, telecommunication, 光學 fibe..."
2801.TW,貿易百貨,"Chang Hwa Commercial Bank, Ltd., 及其 子公司, 提供 commercial 銀行 產品 and 服務 in 台灣 and internationally. The company offers deposit 產品, including checking, demand, time, omnibus, and savings deposits, as well as foreign 服務, including currency depo..."
