Industry,Pair,Name1,Name2,Z_Window,Profit_Factor,Coint_PValue,Avg_OU_HalfLife,Sharpe_Ratio,Win_Rate,Trades,Total_Return_Pct
半導體業,6182.TWO_3006.TW,6182O,3006,20,2.4782764748623403,0.0005215723225940884,,0.0,62.17616580310881,193,147.9482935814592
電腦及週邊設備業,3706.TW_3211.TWO,3706,3211O,20,2.4486055819338253,0.04643384751489687,,0.0,60.824742268041234,194,158.38076136626827
電子零組件業,8358.TWO_2368.TW,8358O,2368,20,2.4321200718089746,8.063709680786509e-05,,0.0,57.635467980295566,203,162.09527396409635
電子零組件業,8039.TW_6274.TWO,8039,6274O,60,2.4307785741585213,2.5709057218761228e-11,,0.0,63.358778625954194,131,152.89216910095593
電機機械,1513.TW_1503.TW,1513,1503,60,2.3376907753193974,0.0034061258601307937,,0.0,71.22302158273382,139,122.91492143202949
半導體業,6271.TW_2441.TW,6271,2441,60,2.3304216648376497,0.05813053509579085,,0.0,69.01408450704226,142,81.97210476567834
電子零組件業,2368.TW_6274.TWO,2368,6274O,20,2.324910767521225,0.03319957879436637,,0.0,64.14141414141415,198,372.0705360014746
半導體業,6257.TW_3260.TWO,6257,3260O,20,2.315319500277911,0.020044085163496084,,0.0,62.980769230769226,208,158.56983492181794
其他電子業,2404.TW_6139.TW,2404,6139,60,2.2998829844647664,0.00527177826153889,,0.0,57.971014492753625,138,258.3182915211829
半導體業,2344.TW_3260.TWO,2344,3260O,60,2.2830585805997186,1.756356307713464e-07,,0.0,57.446808510638306,141,150.54674033627512
半導體業,6271.TW_3006.TW,6271,3006,20,2.243454971245957,0.005391629314853431,,0.0,60.0,185,221.17430882784242
電子零組件業,2368.TW_2383.TW,2368,2383,20,2.2405518003812794,0.017617912449385945,,0.0,63.212435233160626,193,523.3289224596922
半導體業,8299.TWO_3711.TW,8299O,3711,60,2.2144822650079443,6.402136897899833e-05,,0.0,59.12408759124088,137,344.8386675498734
半導體業,8150.TW_3189.TW,8150,3189,60,2.1810038872127735,0.03202030564532255,,0.0,55.79710144927537,138,196.77477393608086
半導體業,6271.TW_5347.TWO,6271,5347O,60,2.1725306714704784,0.023464446242796037,,0.0,64.33566433566433,143,154.32206202499376
半導體業,3260.TWO_3711.TW,3260O,3711,60,2.1663869683178714,0.000350779637109342,,0.0,65.18518518518519,135,210.62985684290317
半導體業,6257.TW_3443.TW,6257,3443,60,2.138926670367102,0.0011771326788778266,,0.0,52.083333333333336,144,577.2881232711105
半導體業,2330.TW_6257.TW,2330,6257,20,2.1357770233061064,0.03320398785680324,,0.0,64.43298969072166,194,242.8693269619984
電腦及週邊設備業,6669.TW_3211.TWO,6669,3211O,60,2.1343414164891863,0.00514377867219934,,0.0,61.940298507462686,134,700.1021197466349
半導體業,6257.TW_3006.TW,6257,3006,20,2.123522363778264,0.0607673784926213,,0.0,60.48780487804878,205,149.00524638453706
其他電子業,2312.TW_6139.TW,2312,6139,60,2.1188690989633194,0.008308624504984775,,0.0,53.284671532846716,137,102.83445073122417
半導體業,8150.TW_3189.TW,8150,3189,20,2.097663295209543,0.03202030564532255,,0.0,64.21052631578948,190,196.94348052405545
半導體業,6257.TW_3260.TWO,6257,3260O,60,2.095722271945404,0.020044085163496084,,0.0,60.416666666666664,144,122.53782114235308
電機機械,1513.TW_1503.TW,1513,1503,20,2.087753975533927,0.0034061258601307937,,0.0,65.96858638743456,191,105.237541834614
半導體業,2340.TW_3035.TW,2340,3035,20,2.0804082267319486,0.05020405998602834,,0.0,68.68131868131869,182,137.36473631715765
半導體業,8150.TW_3006.TW,8150,3006,20,2.078403012470557,5.328841276152645e-05,,0.0,63.212435233160626,193,124.59994803263102
電腦及週邊設備業,3005.TW_6669.TW,3005,6669,60,2.0663766263209227,8.408187352378458e-05,,0.0,62.5,144,657.8219560252616
半導體業,6271.TW_2481.TW,6271,2481,20,2.0607546549911127,0.07533546349331881,,0.0,63.730569948186535,193,104.1613287279243
電子零組件業,2313.TW_2368.TW,2313,2368,60,2.0588568800640332,0.0012203532194470766,,0.0,48.92086330935252,139,178.2345415844631
半導體業,8299.TWO_3264.TWO,8299O,3264O,60,2.054091416929548,0.003398821413250884,,0.0,54.22535211267606,142,316.7681161057814
電腦及週邊設備業,3005.TW_3231.TW,3005,3231,60,2.0472278087576563,0.06211963348427375,,0.0,59.859154929577464,142,74.70097995180521
電子零組件業,2313.TW_2368.TW,2313,2368,20,2.0469579577760277,0.0012203532194470766,,0.0,57.59162303664922,191,250.1799336206585
半導體業,3264.TWO_3711.TW,3264O,3711,20,2.027565289767602,0.015591786742645258,,0.0,68.68131868131869,182,114.03589342118825
半導體業,5425.TWO_4919.TW,5425O,4919,60,2.013433990304437,0.0034841837643522946,,0.0,58.666666666666664,150,94.3192156343345
半導體業,6239.TW_3260.TWO,6239,3260O,60,2.008528377084522,0.00094898352841271,,0.0,62.93706293706294,143,173.72642044803612
電腦及週邊設備業,2301.TW_3017.TW,2301,3017,60,2.0058325455072317,0.0650032248660798,,0.0,60.58394160583942,137,309.1986723272055
電子零組件業,3044.TW_6290.TWO,3044,6290O,60,2.0007974244541695,0.003449248944035436,,0.0,57.66423357664233,137,129.54471675587072
